medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,url_event,code,country_code,country
Gold Medal,1,45500,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903136,BEL,Belgium
Silver Medal,2,45500,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1923520,ITA,Italy
Bronze Medal,3,45500,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903147,BEL,Belgium
Gold Medal,1,45500,Grace BROWN,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1940173,AUS,Australia
Silver Medal,2,45500,Anna HENDERSON,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1912525,GBR,Great Britain
Bronze Medal,3,45500,Chloe DYGERT,W,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1955079,USA,United States
Gold Medal,1,45500,China,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-CHN01,CHN,China
Silver Medal,2,45500,United States,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-USA01,USA,United States
Bronze Medal,3,45500,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--,DIVW3MTEAM2-GBR01,GBR,Great Britain
Gold Medal,1,45500,OH Sanguk,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1927149,KOR,Korea
Silver Medal,2,45500,Fares FERJANI,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1937783,TUN,Tunisia
Bronze Medal,3,45500,Luigi SAMELE,M,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1924595,ITA,Italy
Gold Medal,1,45500,KONG Man Wai Vivian,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1963262,HKG,"Hong Kong, China"
Silver Medal,2,45500,Auriane MALLO-BRETON,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1916183,FRA,France
Bronze Medal,3,45500,Eszter MUHARI,W,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,1946375,HUN,Hungary
Gold Medal,1,45500,Yeldos SMETOV,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1935408,KAZ,Kazakhstan
Silver Medal,2,45500,Luka MKHEIDZE,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1891304,FRA,France
Bronze Medal,3,45500,NAGAYAMA Ryuju,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1896752,JPN,Japan
Bronze Medal,3,45500,Francisco GARRIGOS,M,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1563544,ESP,Spain
